question_id,question_text,option_a,option_b,option_c,option_d,correct_option,category,difficulty_level,age_group,skill_tested,time_limit_sec,marks
Q487,Which word rhymes with 'Night'?,Bit,Light,Not,Hit,B,Verbal,Easy,9-10,Phonics,60,1
Q488,"Which comes next in sequence: A, C, E, G, ?",H,I,J,K,C,Logic,Medium,10-11,Sequencing,52,2
Q489,"Shown: Car, Bike, Bus. Which was last?",Car,Bus,Bike,Truck,B,Memory,Easy,9-10,Short-term Memory,25,1
Q490,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Easy,10-11,Categorization,37,1
Q491,"If all cats are animals, and some animals are black, are all cats black?",Yes,No,Cannot Say,Maybe,C,Logic,Easy,9-10,Reasoning,39,1
Q492,"Shown: Car, Bike, Bus. Which was last?",Car,Bus,Bike,Truck,B,Memory,Medium,10-11,Short-term Memory,37,2
Q493,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Easy,11-12,Pattern Recognition,40,1
Q494,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Hard,8-9,Grammar,46,3
Q495,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Hard,9-10,Comparison,54,3
Q496,"Shown: Car, Bike, Bus. Which was last?",Car,Bus,Bike,Truck,B,Memory,Hard,10-11,Short-term Memory,21,3
Q497,Which word rhymes with 'Night'?,Bit,Light,Not,Hit,B,Verbal,Hard,9-10,Phonics,34,3
Q498,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Easy,10-11,Vocabulary,48,1
Q499,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Hard,11-12,Sequencing,21,3
Q500,Which word rhymes with 'Night'?,Bit,Light,Not,Hit,B,Verbal,Easy,10-11,Phonics,49,1
Q501,"A box has 24 apples. If 6 apples are eaten, how many remain?",16,18,20,22,B,Math,Hard,11-12,Subtraction,35,3
Q502,Which spelling is correct?,Enviroment,Environment,Environmant,Envirnment,B,Verbal,Easy,10-11,Spelling,32,1
Q503,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Medium,8-9,Recognition,40,2
Q504,What is 144 ÷ 12?,10,11,12,13,C,Math,Easy,11-12,Division,45,1
Q505,"If all cats are animals, and some animals are black, are all cats black?",Yes,No,Cannot Say,Maybe,C,Logic,Medium,8-9,Reasoning,32,2
Q506,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Hard,11-12,Vocabulary,46,3
Q507,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Easy,8-9,Grammar,30,1
Q508,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Hard,9-10,Categorization,35,3
Q509,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Hard,11-12,Vocabulary,41,3
Q510,Ravi bought 3 pencils for ₹5 each. How much did he spend?,10,15,20,25,B,Math,Easy,11-12,Word Problems,36,1
Q511,Ravi bought 3 pencils for ₹5 each. How much did he spend?,10,15,20,25,B,Math,Hard,8-9,Word Problems,50,3
Q512,What is the perimeter of a square with side 8 cm?,16,24,28,32,D,Math,Easy,8-9,Geometry,28,1
Q513,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Easy,10-11,Pattern Recognition,48,1
Q514,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Hard,11-12,Categorization,43,3
Q515,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Medium,10-11,Vocabulary,60,2
Q516,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Easy,9-10,Vocabulary,24,1
Q517,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Medium,9-10,Categorization,56,2
Q518,"Look: Apple, Banana, Orange. Which fruit was first?",Banana,Apple,Orange,Grapes,B,Memory,Medium,9-10,Recall,32,2
Q519,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Hard,9-10,Sequencing,34,3
Q520,What is 25 × 4?,50,75,100,125,C,Math,Easy,8-9,Multiplication,35,1
Q521,What is the perimeter of a square with side 8 cm?,16,24,28,32,D,Math,Medium,8-9,Geometry,42,2
Q522,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Hard,10-11,Recognition,49,3
Q523,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Hard,9-10,Recognition,60,3
Q524,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Hard,8-9,Recognition,23,3
Q525,"Which comes next in sequence: A, C, E, G, ?",H,I,J,K,C,Logic,Medium,8-9,Sequencing,50,2
Q526,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Easy,9-10,Recall,37,1
Q527,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Hard,8-9,Pattern Recognition,23,3
Q528,Which word rhymes with 'Night'?,Bit,Light,Not,Hit,B,Verbal,Hard,10-11,Phonics,36,3
Q529,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Easy,11-12,Pattern Recognition,44,1
Q530,Which spelling is correct?,Enviroment,Environment,Environmant,Envirnment,B,Verbal,Hard,10-11,Spelling,58,3
Q531,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Easy,9-10,Recognition,27,1
Q532,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Easy,11-12,Recognition,50,1
Q533,Which word rhymes with 'Night'?,Bit,Light,Not,Hit,B,Verbal,Medium,8-9,Phonics,30,2
Q534,"Which comes next in sequence: A, C, E, G, ?",H,I,J,K,C,Logic,Easy,11-12,Sequencing,54,1
Q535,Which word rhymes with 'Night'?,Bit,Light,Not,Hit,B,Verbal,Easy,11-12,Phonics,60,1
Q536,"A box has 24 apples. If 6 apples are eaten, how many remain?",16,18,20,22,B,Math,Easy,11-12,Subtraction,53,1
Q537,"If all cats are animals, and some animals are black, are all cats black?",Yes,No,Cannot Say,Maybe,C,Logic,Easy,9-10,Reasoning,57,1
Q538,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Hard,9-10,Grammar,56,3
Q539,"Look: Apple, Banana, Orange. Which fruit was first?",Banana,Apple,Orange,Grapes,B,Memory,Easy,11-12,Recall,45,1
Q540,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Medium,8-9,Pattern Recognition,26,2
Q541,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Hard,8-9,Sequencing,21,3
Q542,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Easy,10-11,Vocabulary,50,1
Q543,"A box has 24 apples. If 6 apples are eaten, how many remain?",16,18,20,22,B,Math,Medium,8-9,Subtraction,55,2
Q544,"If all cats are animals, and some animals are black, are all cats black?",Yes,No,Cannot Say,Maybe,C,Logic,Hard,10-11,Reasoning,60,3
Q545,"Shown: Car, Bike, Bus. Which was last?",Car,Bus,Bike,Truck,B,Memory,Medium,8-9,Short-term Memory,35,2
Q546,Which word rhymes with 'Night'?,Bit,Light,Not,Hit,B,Verbal,Hard,11-12,Phonics,46,3
Q547,Ravi bought 3 pencils for ₹5 each. How much did he spend?,10,15,20,25,B,Math,Hard,10-11,Word Problems,37,3
Q548,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Medium,11-12,Vocabulary,44,2
Q549,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Easy,9-10,Comparison,38,1
Q550,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Hard,10-11,Comparison,20,3
Q551,What is 144 ÷ 12?,10,11,12,13,C,Math,Hard,11-12,Division,49,3
Q552,Ravi bought 3 pencils for ₹5 each. How much did he spend?,10,15,20,25,B,Math,Medium,11-12,Word Problems,54,2
Q553,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Medium,11-12,Sequencing,46,2
Q554,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Medium,9-10,Grammar,59,2
Q555,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Easy,9-10,Recall,51,1
Q556,Which spelling is correct?,Enviroment,Environment,Environmant,Envirnment,B,Verbal,Medium,10-11,Spelling,43,2
Q557,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Hard,10-11,Vocabulary,51,3
Q558,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Hard,8-9,Comparison,22,3
Q559,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Easy,8-9,Categorization,57,1
Q560,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Easy,11-12,Categorization,49,1
Q561,"Shown: Car, Bike, Bus. Which was last?",Car,Bus,Bike,Truck,B,Memory,Hard,10-11,Short-term Memory,53,3
Q562,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Hard,11-12,Comparison,52,3
Q563,What is 25 × 4?,50,75,100,125,C,Math,Easy,10-11,Multiplication,44,1
Q564,What is the perimeter of a square with side 8 cm?,16,24,28,32,D,Math,Hard,9-10,Geometry,41,3
Q565,"A box has 24 apples. If 6 apples are eaten, how many remain?",16,18,20,22,B,Math,Hard,10-11,Subtraction,49,3
Q566,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Easy,10-11,Pattern Recognition,36,1
Q567,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Medium,10-11,Recall,26,2
Q568,What is 25 × 4?,50,75,100,125,C,Math,Medium,8-9,Multiplication,30,2
Q569,Ravi bought 3 pencils for ₹5 each. How much did he spend?,10,15,20,25,B,Math,Medium,10-11,Word Problems,60,2
Q570,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Medium,8-9,Vocabulary,22,2
Q571,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Hard,11-12,Recall,21,3
Q572,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Easy,8-9,Grammar,49,1
Q573,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Hard,10-11,Recall,49,3
Q574,What is 25 × 4?,50,75,100,125,C,Math,Easy,8-9,Multiplication,43,1
Q575,What is 25 × 4?,50,75,100,125,C,Math,Medium,11-12,Multiplication,59,2
Q576,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Medium,11-12,Recognition,40,2
Q577,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Hard,10-11,Pattern Recognition,46,3
Q578,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Medium,11-12,Pattern Recognition,52,2
Q579,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Hard,11-12,Vocabulary,30,3
Q580,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Hard,8-9,Vocabulary,51,3
Q581,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Hard,10-11,Comparison,21,3
Q582,Which spelling is correct?,Enviroment,Environment,Environmant,Envirnment,B,Verbal,Hard,10-11,Spelling,37,3
Q583,"Which comes next in sequence: A, C, E, G, ?",H,I,J,K,C,Logic,Hard,9-10,Sequencing,48,3
Q584,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Medium,8-9,Vocabulary,35,2
Q585,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Medium,10-11,Grammar,28,2
Q586,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Hard,8-9,Pattern Recognition,53,3
Q587,What is 144 ÷ 12?,10,11,12,13,C,Math,Easy,11-12,Division,39,1
Q588,"A box has 24 apples. If 6 apples are eaten, how many remain?",16,18,20,22,B,Math,Easy,9-10,Subtraction,39,1
Q589,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Hard,10-11,Vocabulary,58,3
Q590,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Medium,8-9,Pattern Recognition,37,2
Q591,"If all cats are animals, and some animals are black, are all cats black?",Yes,No,Cannot Say,Maybe,C,Logic,Medium,8-9,Reasoning,25,2
Q592,"If all cats are animals, and some animals are black, are all cats black?",Yes,No,Cannot Say,Maybe,C,Logic,Medium,11-12,Reasoning,46,2
Q593,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Medium,10-11,Recall,38,2
Q594,"A box has 24 apples. If 6 apples are eaten, how many remain?",16,18,20,22,B,Math,Easy,10-11,Subtraction,24,1
Q595,What is 25 × 4?,50,75,100,125,C,Math,Hard,9-10,Multiplication,24,3
Q596,Which spelling is correct?,Enviroment,Environment,Environmant,Envirnment,B,Verbal,Hard,9-10,Spelling,55,3
Q597,Which word rhymes with 'Night'?,Bit,Light,Not,Hit,B,Verbal,Hard,10-11,Phonics,32,3
Q598,"Look: Apple, Banana, Orange. Which fruit was first?",Banana,Apple,Orange,Grapes,B,Memory,Easy,11-12,Recall,47,1
Q599,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Hard,8-9,Pattern Recognition,38,3
Q600,Which spelling is correct?,Enviroment,Environment,Environmant,Envirnment,B,Verbal,Easy,9-10,Spelling,46,1
Q601,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Medium,10-11,Grammar,26,2
Q602,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Hard,11-12,Categorization,50,3
Q603,What is the perimeter of a square with side 8 cm?,16,24,28,32,D,Math,Medium,10-11,Geometry,31,2
Q604,Which spelling is correct?,Enviroment,Environment,Environmant,Envirnment,B,Verbal,Easy,11-12,Spelling,27,1
Q605,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Hard,11-12,Recall,57,3
Q606,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Medium,8-9,Comparison,47,2
Q607,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Easy,9-10,Grammar,20,1
Q608,What is the perimeter of a square with side 8 cm?,16,24,28,32,D,Math,Easy,11-12,Geometry,23,1
Q609,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Easy,9-10,Grammar,26,1
Q610,Which spelling is correct?,Enviroment,Environment,Environmant,Envirnment,B,Verbal,Medium,11-12,Spelling,57,2
Q611,What is 144 ÷ 12?,10,11,12,13,C,Math,Medium,10-11,Division,34,2
Q612,What is 25 × 4?,50,75,100,125,C,Math,Easy,8-9,Multiplication,46,1
Q613,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Medium,9-10,Comparison,56,2
Q614,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Easy,9-10,Sequencing,45,1
Q615,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Hard,8-9,Recall,31,3
Q616,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Hard,8-9,Categorization,34,3
Q617,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Medium,9-10,Pattern Recognition,25,2
Q618,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Easy,10-11,Vocabulary,46,1
Q619,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Easy,10-11,Vocabulary,20,1
Q620,"Which comes next in sequence: A, C, E, G, ?",H,I,J,K,C,Logic,Hard,10-11,Sequencing,49,3
Q621,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Hard,9-10,Sequencing,28,3
Q622,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Easy,11-12,Sequencing,20,1
Q623,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Easy,9-10,Recall,24,1
Q624,What is 144 ÷ 12?,10,11,12,13,C,Math,Easy,9-10,Division,41,1
Q625,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Hard,11-12,Vocabulary,35,3
Q626,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Medium,10-11,Recall,37,2
Q627,What is the perimeter of a square with side 8 cm?,16,24,28,32,D,Math,Hard,11-12,Geometry,59,3
Q628,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Hard,11-12,Sequencing,49,3
Q629,"If all cats are animals, and some animals are black, are all cats black?",Yes,No,Cannot Say,Maybe,C,Logic,Hard,9-10,Reasoning,41,3
Q630,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Medium,10-11,Pattern Recognition,20,2
Q631,What is the perimeter of a square with side 8 cm?,16,24,28,32,D,Math,Easy,10-11,Geometry,22,1
Q632,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Hard,11-12,Comparison,37,3
Q633,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Medium,11-12,Categorization,54,2
Q634,"Which comes next in sequence: A, C, E, G, ?",H,I,J,K,C,Logic,Easy,11-12,Sequencing,51,1
Q635,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Hard,9-10,Comparison,30,3
Q636,"Which comes next in sequence: A, C, E, G, ?",H,I,J,K,C,Logic,Medium,8-9,Sequencing,56,2
Q637,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Easy,8-9,Sequencing,22,1
Q638,"If all cats are animals, and some animals are black, are all cats black?",Yes,No,Cannot Say,Maybe,C,Logic,Hard,10-11,Reasoning,55,3
Q639,"Which comes next in sequence: A, C, E, G, ?",H,I,J,K,C,Logic,Hard,10-11,Sequencing,31,3
Q640,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Easy,9-10,Comparison,53,1
Q641,Which word rhymes with 'Night'?,Bit,Light,Not,Hit,B,Verbal,Easy,9-10,Phonics,57,1
Q642,"Look: Apple, Banana, Orange. Which fruit was first?",Banana,Apple,Orange,Grapes,B,Memory,Medium,9-10,Recall,59,2
Q643,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Easy,11-12,Recall,23,1
Q644,"A box has 24 apples. If 6 apples are eaten, how many remain?",16,18,20,22,B,Math,Medium,9-10,Subtraction,39,2
Q645,"Which comes next in sequence: A, C, E, G, ?",H,I,J,K,C,Logic,Medium,8-9,Sequencing,29,2
Q646,Which spelling is correct?,Enviroment,Environment,Environmant,Envirnment,B,Verbal,Hard,9-10,Spelling,58,3
Q647,Which word rhymes with 'Night'?,Bit,Light,Not,Hit,B,Verbal,Easy,8-9,Phonics,32,1
Q648,"Which comes next in sequence: A, C, E, G, ?",H,I,J,K,C,Logic,Hard,8-9,Sequencing,43,3
Q649,"If all cats are animals, and some animals are black, are all cats black?",Yes,No,Cannot Say,Maybe,C,Logic,Hard,9-10,Reasoning,27,3
Q650,"Shown: Car, Bike, Bus. Which was last?",Car,Bus,Bike,Truck,B,Memory,Hard,10-11,Short-term Memory,30,3
Q651,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Easy,10-11,Sequencing,23,1
Q652,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Medium,9-10,Vocabulary,27,2
Q653,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Medium,9-10,Recognition,39,2
Q654,"Shown: Car, Bike, Bus. Which was last?",Car,Bus,Bike,Truck,B,Memory,Medium,9-10,Short-term Memory,30,2
Q655,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Hard,9-10,Comparison,22,3
Q656,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Easy,9-10,Vocabulary,35,1
Q657,"A box has 24 apples. If 6 apples are eaten, how many remain?",16,18,20,22,B,Math,Easy,8-9,Subtraction,40,1
Q658,"Shown: Car, Bike, Bus. Which was last?",Car,Bus,Bike,Truck,B,Memory,Easy,11-12,Short-term Memory,55,1
Q659,What is 25 × 4?,50,75,100,125,C,Math,Easy,11-12,Multiplication,48,1
Q660,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Medium,9-10,Categorization,34,2
Q661,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Hard,11-12,Grammar,42,3
Q662,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Medium,9-10,Recall,49,2
Q663,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Hard,10-11,Recognition,34,3
Q664,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Medium,9-10,Vocabulary,45,2
Q665,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Easy,8-9,Pattern Recognition,44,1
Q666,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Medium,8-9,Categorization,25,2
Q667,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Easy,10-11,Grammar,52,1
Q668,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Easy,11-12,Grammar,36,1
Q669,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Hard,9-10,Grammar,31,3
Q670,"A box has 24 apples. If 6 apples are eaten, how many remain?",16,18,20,22,B,Math,Medium,11-12,Subtraction,29,2
Q671,"A box has 24 apples. If 6 apples are eaten, how many remain?",16,18,20,22,B,Math,Medium,8-9,Subtraction,32,2
Q672,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Hard,11-12,Pattern Recognition,25,3
Q673,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Easy,9-10,Recognition,47,1
Q674,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Easy,11-12,Pattern Recognition,28,1
Q675,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Hard,11-12,Pattern Recognition,23,3
Q676,What is the perimeter of a square with side 8 cm?,16,24,28,32,D,Math,Easy,10-11,Geometry,33,1
Q677,"Look: Apple, Banana, Orange. Which fruit was first?",Banana,Apple,Orange,Grapes,B,Memory,Easy,10-11,Recall,43,1
Q678,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Medium,9-10,Vocabulary,31,2
Q679,What is 25 × 4?,50,75,100,125,C,Math,Hard,8-9,Multiplication,56,3
Q680,What is 144 ÷ 12?,10,11,12,13,C,Math,Hard,11-12,Division,59,3
Q681,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Hard,10-11,Grammar,44,3
Q682,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Hard,11-12,Vocabulary,48,3
Q683,"A box has 24 apples. If 6 apples are eaten, how many remain?",16,18,20,22,B,Math,Hard,9-10,Subtraction,23,3
Q684,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Hard,11-12,Vocabulary,31,3
Q685,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Hard,10-11,Vocabulary,24,3
Q686,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Medium,8-9,Vocabulary,55,2
Q687,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Medium,11-12,Vocabulary,40,2
Q688,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Easy,11-12,Categorization,34,1
Q689,"Look: Apple, Banana, Orange. Which fruit was first?",Banana,Apple,Orange,Grapes,B,Memory,Medium,11-12,Recall,46,2
Q690,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Hard,9-10,Recognition,27,3
Q691,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Easy,11-12,Recognition,54,1
Q692,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Medium,10-11,Sequencing,43,2
Q693,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Medium,9-10,Vocabulary,29,2
Q694,Which spelling is correct?,Enviroment,Environment,Environmant,Envirnment,B,Verbal,Hard,8-9,Spelling,43,3
Q695,"Which comes next in sequence: A, C, E, G, ?",H,I,J,K,C,Logic,Medium,9-10,Sequencing,23,2
Q696,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Easy,9-10,Categorization,39,1
Q697,Which word rhymes with 'Night'?,Bit,Light,Not,Hit,B,Verbal,Easy,9-10,Phonics,24,1
Q698,"Look: Apple, Banana, Orange. Which fruit was first?",Banana,Apple,Orange,Grapes,B,Memory,Medium,8-9,Recall,36,2
Q699,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Easy,9-10,Recognition,27,1
Q700,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Hard,8-9,Recall,47,3
Q701,What is the perimeter of a square with side 8 cm?,16,24,28,32,D,Math,Medium,11-12,Geometry,41,2
Q702,"Look: Apple, Banana, Orange. Which fruit was first?",Banana,Apple,Orange,Grapes,B,Memory,Medium,8-9,Recall,55,2
Q703,"Look: Apple, Banana, Orange. Which fruit was first?",Banana,Apple,Orange,Grapes,B,Memory,Easy,11-12,Recall,48,1
Q704,Which spelling is correct?,Enviroment,Environment,Environmant,Envirnment,B,Verbal,Medium,11-12,Spelling,32,2
Q705,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Hard,10-11,Vocabulary,56,3
Q706,"Look: Apple, Banana, Orange. Which fruit was first?",Banana,Apple,Orange,Grapes,B,Memory,Easy,11-12,Recall,54,1
Q707,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Hard,8-9,Recall,51,3
Q708,What is 144 ÷ 12?,10,11,12,13,C,Math,Easy,11-12,Division,35,1
Q709,"If all cats are animals, and some animals are black, are all cats black?",Yes,No,Cannot Say,Maybe,C,Logic,Hard,8-9,Reasoning,31,3
Q710,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Medium,8-9,Categorization,43,2
